Size,Bubble sort,Merge sort,Shell sort,Quick Sort,
300,44814,2115,2462,2215,
300,44525,2114,2452,2435,
300,44640,2102,2434,2522,
300,44784,2079,2567,2280,
300,44772,2111,2446,2569,
300,44220,2095,2506,2784,
300,44220,2109,2415,2394,
300,44660,2107,2596,2288,
300,44835,2093,2490,2343,
300,44030,2096,2456,2294,
300,44640,2101,2441,2477,
300,44147,2100,2414,2275,
300,44574,2103,2309,2763,
300,44415,2098,2587,2281,
300,44220,2117,2418,2504,
300,44714,2110,2335,2458,
300,44772,2091,2537,2701,
300,44444,2102,2422,2342,
400,79734,2973,3842,3283,
400,79722,2959,4030,3505,
400,79449,2950,4309,3621,
400,79755,2950,3869,3336,
400,79365,2930,3969,3392,
400,79610,2970,3932,3520,
400,79097,2955,3841,3121,
400,79547,2961,3888,3273,
400,78980,2931,3829,3617,
400,79394,2944,3878,2989,
400,79205,2965,3792,3191,
400,79394,2952,4141,3246,
400,79647,2942,3811,3459,
400,79794,2971,4069,3181,
400,79569,2970,3816,3600,
400,79745,2969,3657,3316,
400,79272,2980,4035,3391,
400,78624,2953,3808,4142,
400,79524,2951,3781,3439,
400,79590,2955,3911,3358,
400,79745,2966,3868,3239,
400,79365,2964,3854,3330,
400,79695,2974,3805,3656,
400,79629,2957,3978,3278,
400,79722,2970,4140,3264,
400,79680,2977,3617,3554,
400,79020,2957,3926,3087,
400,79569,2955,3858,4101,
400,79764,2963,3904,3213,
400,79475,2965,3918,3278,
400,79547,2968,3975,3407,
400,78897,2957,3888,3509,
400,79524,2976,4256,3743,
400,79664,2943,4124,3354,
400,79547,2955,4136,3790,
400,79647,2962,3946,3320,
400,79790,2962,4071,3278,
400,79365,2936,3915,3143,
400,79745,2966,4149,3774,
400,79304,2973,3794,3597,
400,79335,2973,3779,3785,
400,78719,2935,3908,3353,
400,78575,2969,3857,3520,
400,79755,2967,4161,3384,
400,79590,2959,3889,3440,
400,79475,2969,4066,3443,
400,79797,2942,4107,3527,
400,79745,2958,3937,3420,
400,79785,2956,4024,3473,
400,79365,2959,4169,3493,
400,79020,2975,4026,3449,
400,79569,2964,4466,3168,
400,79590,2949,3947,3488,
400,79475,2960,3961,3358,
400,79335,2974,3874,3975,
400,79365,2963,3842,4096,
400,79335,2957,4255,3342,
400,79394,2961,4078,3642,
400,79590,2963,4046,3544,
400,79647,2952,3942,3695,
400,79722,2963,3913,3298,
400,79722,2961,4037,3569,
400,79475,2976,4227,4065,
400,78624,2965,4052,3349,
400,79569,2970,4090,3500,
400,78765,2944,4045,4238,
400,79797,2978,3627,3747,
400,79790,2966,3884,3226,
400,78897,2962,4035,3016,
400,79475,2957,3955,3599,
400,79800,2955,3746,3348,
400,79205,2962,3930,3175,
400,79394,2973,4125,3368,
400,79734,2966,4014,3169,
400,79097,2966,3908,3135,
400,79524,2956,4210,3647,
400,79794,2949,3980,3281,
400,79020,2948,3948,3436,
400,78719,2960,3955,3828,
400,79272,2968,3835,3540,
400,79590,2964,4073,3292,
400,79335,2969,4106,3380,
400,79664,2958,3895,3262,
400,79709,2949,3887,3301,
400,79695,2940,4106,3506,
400,78854,2980,4218,3703,
400,79239,2953,3895,3439,
400,79239,2944,3862,3958,
400,79764,2973,4217,3480,
400,79709,2982,4206,3198,
400,78939,2979,4073,3843,
400,79304,2961,3498,3444,
400,79569,2948,4245,3448,
400,79097,2954,4052,3302,
400,79785,2959,4313,3593,
400,79547,2978,4057,3339,
400,78765,2967,4118,3587,
400,79629,2942,4151,3097,
400,79524,2963,4304,4051,
400,79239,2965,3860,3439,
500,124399,3864,5065,4510,
500,124729,3859,4995,4572,
500,124672,3846,4652,4618,
500,124155,3850,4721,4308,
500,124450,3860,4658,4971,
500,123319,3836,5081,4247,
500,124047,3855,4766,4909,
500,124285,3832,4762,4377,
500,124285,3859,4817,4250,
500,124189,3859,4749,4089,
500,123525,3845,4569,4371,
500,124399,3866,4901,4455,
500,124560,3850,5016,4394,
500,124735,3873,4799,4220,
500,124285,3823,4503,4454,
500,124399,3849,4622,4551,
500,124705,3861,4808,4350,
500,124519,3850,4541,4242,
500,124659,3841,4802,4226,
500,124659,3865,4893,4241,
500,124344,3868,4688,4415,
500,123804,3840,5046,4441,
500,124344,3860,4822,4504,
500,124372,3851,4659,4185,
500,124519,3838,4907,5040,
500,124450,3873,5054,4189,
500,124735,3865,4874,4528,
500,124399,3859,4974,4927,
500,124222,3858,4508,4462,
500,124372,3873,4855,4595,
500,124084,3851,4416,4078,
500,123804,3862,4662,4020,
500,124729,3851,4346,4703,
500,124560,3857,4959,4678,
500,124254,3853,5003,4329,
500,124344,3856,4689,4535,
500,124695,3863,4722,4291,
500,124519,3853,5224,4015,
500,124695,3837,4750,5003,
500,124120,3845,5112,4602,
500,124597,3864,4613,4566,
500,124474,3871,4837,5029,
500,124645,3853,4993,4078,
500,124222,3850,4900,4121,
500,123622,3862,4710,4242,
500,124740,3862,5050,4949,
500,123804,3854,4627,4364,
500,124519,3846,4832,4404,
500,124450,3847,4473,4532,
500,124750,3878,4564,4175,
500,124425,3862,4673,4465,
500,124519,3863,4782,4301,
500,123930,3856,4715,5070,
500,124519,3862,4878,4663,
500,124614,3851,4539,5414,
500,124285,3866,4414,4145,
500,124285,3855,4852,4834,
500,124672,3854,4585,4341,
500,124560,3870,4497,4073,
500,123930,3859,5034,4999,
500,124659,3866,4859,4442,
500,124735,3856,4822,4282,
500,124084,3865,4699,4428,
500,124084,3851,4717,4530,
500,124645,3871,5108,4256,
500,124047,3852,4286,4122,
500,124684,3843,4779,4213,
500,124614,3844,4984,4379,
500,124579,3852,4502,4787,
500,124519,3859,4587,4200,
500,124672,3838,5016,4288,
500,124597,3872,4537,4407,
500,124519,3850,4566,4158,
500,124372,3863,4708,4495,
500,123715,3860,4679,4246,
500,124722,3839,4761,4551,
500,124155,3856,4883,4876,
500,124597,3845,4619,3998,
500,124735,3847,4748,4340,
500,124120,3866,4790,4745,
500,124222,3850,4725,4551,
500,123804,3848,4488,4081,
500,124285,3858,4836,4729,
500,124155,3868,4532,4827,
500,122194,3872,4758,4521,
500,123760,3855,5323,5148,
500,124497,3851,4796,4856,
500,124285,3842,4748,4477,
500,123970,3875,4670,4715,
500,124540,3872,4798,4687,
500,124672,3850,5194,4561,
500,124519,3872,4615,4433,
500,124630,3852,4558,4668,
500,124695,3847,4722,4263,
500,124560,3841,4853,4540,
500,124714,3846,4788,4364,
